source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,ALL,ALL-LO,exp-LO,CHI-LO,exp-LOOM,CHI-LOOM,exp-offC,CHI-offC,exp-allC,CHI-allC
S02000263,S02000631,4,0,3,0,-1,-4,-4,7,3,2,1.2,3,0.6,1,1.5,4,-0.5
S02000263,S02000633,5,0,0,3,-5,-5,-2,8,3,2,1.6,3,0.9,1,-1.2,5,-0.7
S02000263,S02000634,3,0,0,0,-3,-3,-3,3,0,1,2.1,1,1.5,1,-0.7,2,-1.3
S02000263,S02000635,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000263,S02000638,3,4,0,0,-3,1,-3,7,4,2,0.6,3,2.3,1,-1.1,4,-2
S02000263,S02000642,4,0,3,0,-1,-4,-4,7,3,2,1.2,3,0.6,1,1.5,4,-0.5
S02000263,S02000644,4,0,11,0,7,-4,-4,15,11,5,-0.3,6,-0.9,3,4.9,9,0.8
S02000263,S02000649,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000263,S02000651,0,0,9,3,9,0,3,12,12,4,-1.9,5,-2.3,2,4.6,7,1.9
S02000263,S02000655,32,8,130,31,98,-24,-1,201,169,63,-3.9,85,-4.9,37,15.2,116,4.2
S02000263,S02000656,6,9,0,0,-6,3,-6,15,9,5,0.6,6,3.4,3,-1.7,9,-2.9
S02000263,S02000658,45,9,11,53,-34,-36,8,118,73,37,1.4,50,0.5,22,-2.3,68,-0.5
S02000263,S02000659,0,0,3,0,3,0,0,3,3,1,-1,1,-1.1,1,3.3,2,1
S02000263,S02000660,19,0,0,3,-19,-19,-16,22,3,7,4.6,9,3.2,4,-2,13,-2.7
S02000263,S02000661,14,0,4,7,-10,-14,-7,25,11,8,2.2,11,1,5,-0.3,14,-0.9
S02000263,S02000664,9,0,0,5,-9,-9,-4,14,5,4,2.2,6,1.2,3,-1.6,8,-1.1
S02000263,S02000665,0,0,10,0,10,0,0,10,10,3,-1.8,4,-2.1,2,6,6,1.8
S02000263,S02000666,0,0,0,7,0,0,7,7,7,2,-1.5,3,-1.7,1,-1.1,4,1.5
S02000263,S02000668,6,0,0,0,-6,-6,-6,6,0,2,3,3,2.2,1,-1.1,3,-1.9
S02000263,S02000670,0,3,0,0,0,3,0,3,3,1,-1,1,1.5,1,-0.7,2,-1.3
S02000263,S02000672,0,0,0,48,0,0,48,48,48,15,-3.9,20,-4.5,9,-3,28,3.9
S02000263,S02000675,4,0,0,4,-4,-4,0,8,4,2,1,3,0.3,1,-1.2,5,-0.3
S02000263,S02000676,4,0,3,4,-1,-4,0,11,7,3,0.3,5,-0.3,2,0.7,6,0.3
S02000263,S02000677,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000263,S02000679,0,0,0,4,0,0,4,4,4,1,-1.1,2,-1.3,1,-0.9,2,1.1
S02000263,S02000680,0,0,0,3,0,0,3,3,3,1,-1,1,-1.1,1,-0.7,2,1
S02000263,S02000681,3,0,0,5,-3,-3,2,8,5,2,0.3,3,-0.2,1,-1.2,5,0.2
S02000263,S02000684,0,12,0,0,0,12,0,12,12,4,-1.9,5,3.1,2,-1.5,7,-2.6
S02000263,S02000685,5,0,0,0,-5,-5,-5,5,0,2,2.8,2,2,1,-1,3,-1.7
S02000263,S02000688,0,0,0,5,0,0,5,5,5,2,-1.2,2,-1.5,1,-1,3,1.3
S02000263,S02000689,21,4,3,21,-18,-17,0,49,28,15,1.5,21,0.9,9,-2,28,-0.8
S02000263,S02000690,3,0,0,4,-3,-3,1,7,4,2,0.6,3,0,1,-1.1,4,0
S02000263,S02000691,6,0,0,0,-6,-6,-6,6,0,2,3,3,2.2,1,-1.1,3,-1.9
