source,dest,likelyOperating,otherMiddle,officeClosed,otherClosed,diffOfCl_LiOp,diffOtMi_LiOp,diffOtCl_LiOp,total,loExp,loExpDiff,loCHI
S12000017,S12000019,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000017,S12000020,420,192,139,295,-281,-228,-125,1046,350.2,69.8,3.73
S12000017,S12000021,5,3,0,0,-5,-2,-5,8,2.7,2.3,1.42
S12000017,S12000023,23,22,3,10,-20,-1,-13,58,19.4,3.6,0.81
S12000017,S12000024,17,18,5,24,-12,1,7,64,21.4,-4.4,-0.96
S12000017,S12000026,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000017,S12000027,18,10,4,6,-14,-8,-12,38,12.7,5.3,1.48
S12000017,S12000028,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000017,S12000029,5,5,0,8,-5,0,3,18,6.0,-1.0,-0.42
S12000017,S12000030,21,4,4,12,-17,-17,-9,41,13.7,7.3,1.96
S12000017,S12000033,145,193,126,125,-19,48,-20,589,197.2,-52.2,-3.72
S12000017,S12000034,20,62,23,34,3,42,14,139,46.5,-26.5,-3.89
S12000017,S12000035,122,48,14,42,-108,-74,-80,226,75.7,46.3,5.33
S12000017,S12000036,69,20,49,49,-20,-49,-20,187,62.6,6.4,0.81
S12000017,S12000038,4,8,0,7,-4,4,3,19,6.4,-2.4,-0.94
S12000017,S12000039,4,4,0,0,-4,0,-4,8,2.7,1.3,0.81
S12000017,S12000040,10,0,4,0,-6,-10,-10,14,4.7,5.3,2.45
S12000017,S12000041,11,7,0,5,-11,-4,-6,23,7.7,3.3,1.19
S12000017,S12000042,8,0,3,11,-5,-8,3,22,7.4,0.6,0.23
S12000017,S12000044,5,4,0,4,-5,-1,-1,13,4.4,0.6,0.31
S12000017,S12000045,0,0,0,6,0,0,6,6,2.0,-2.0,-1.42
S12000017,S12000046,67,13,41,54,-26,-54,-13,175,58.6,8.4,1.10
S12000018,S12000006,6,0,3,4,-3,-6,-2,13,4.4,1.6,0.79
S12000018,S12000008,26,10,4,7,-22,-16,-19,47,15.7,10.3,2.59
S12000018,S12000010,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000018,S12000011,38,12,14,37,-24,-26,-1,101,33.8,4.2,0.72
S12000018,S12000014,5,30,3,7,-2,25,2,45,15.1,-10.1,-2.59
S12000018,S12000015,17,14,3,0,-14,-3,-17,34,11.4,5.6,1.66
S12000018,S12000017,9,0,6,0,-3,-9,-9,15,5.0,4.0,1.77
S12000018,S12000018,7517,2481,3562,6644,-3955,-5036,-873,20204,6765.1,751.9,9.14
S12000018,S12000020,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000018,S12000021,144,76,30,153,-114,-68,9,403,134.9,9.1,0.78
S12000018,S12000024,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000018,S12000026,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000018,S12000027,0,6,0,0,0,6,0,6,2.0,-2.0,-1.42
S12000018,S12000028,16,18,4,18,-12,2,2,56,18.8,-2.8,-0.64
S12000018,S12000029,52,80,37,22,-15,28,-30,191,64.0,-12.0,-1.49
S12000018,S12000030,4,0,6,6,2,-4,2,16,5.4,-1.4,-0.59
S12000018,S12000033,8,17,10,8,2,9,0,43,14.4,-6.4,-1.69
S12000018,S12000034,0,8,0,3,0,8,3,11,3.7,-3.7,-1.92
S12000018,S12000035,285,94,108,75,-177,-191,-210,562,188.2,96.8,7.06
S12000018,S12000036,24,12,38,14,14,-12,-10,88,29.5,-5.5,-1.01
S12000018,S12000038,1094,955,498,757,-596,-139,-337,3304,1106.3,-12.3,-0.37
S12000018,S12000039,147,87,54,66,-93,-60,-81,354,118.5,28.5,2.61
S12000018,S12000040,7,14,9,5,2,7,-2,35,11.7,-4.7,-1.38
S12000018,S12000041,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000018,S12000042,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000018,S12000044,44,62,24,19,-20,18,-25,149,49.9,-5.9,-0.83
S12000018,S12000045,17,10,18,22,1,-7,5,67,22.4,-5.4,-1.15
S12000018,S12000046,1351,776,1273,1042,-78,-575,-309,4442,1487.4,-136.4,-3.54
S12000019,S12000005,0,12,0,3,0,12,3,15,5.0,-5.0,-2.24
S12000019,S12000008,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000019,S12000010,454,280,166,414,-288,-174,-40,1314,440.0,14.0,0.67
S12000019,S12000014,30,49,5,21,-25,19,-9,105,35.2,-5.2,-0.87
S12000019,S12000015,62,82,41,49,-21,20,-13,234,78.4,-16.4,-1.85
S12000019,S12000019,3899,2080,1254,5061,-2645,-1819,1162,12294,4116.5,-217.5,-3.39
S12000019,S12000020,5,0,0,0,-5,-5,-5,5,1.7,3.3,2.57
S12000019,S12000024,6,11,0,11,-6,5,5,28,9.4,-3.4,-1.10
S12000019,S12000026,116,59,32,129,-84,-57,13,336,112.5,3.5,0.33
S12000019,S12000028,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000019,S12000029,17,20,4,17,-13,3,0,58,19.4,-2.4,-0.55
S12000019,S12000030,12,13,16,13,4,1,1,54,18.1,-6.1,-1.43
S12000019,S12000033,5,8,5,4,0,3,-1,22,7.4,-2.4,-0.87
S12000019,S12000034,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000019,S12000035,12,0,0,0,-12,-12,-12,12,4.0,8.0,3.98
S12000019,S12000036,6706,1542,4836,4928,-1870,-5164,-1778,18012,6031.2,674.8,8.69
S12000019,S12000038,8,5,0,0,-8,-3,-8,13,4.4,3.6,1.75
S12000019,S12000040,200,216,149,198,-51,16,-2,763,255.5,-55.5,-3.47
S12000019,S12000042,7,0,5,8,-2,-7,1,20,6.7,0.3,0.12
S12000019,S12000044,27,29,20,25,-7,2,-2,101,33.8,-6.8,-1.17
S12000019,S12000045,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000019,S12000046,34,19,38,44,4,-15,10,135,45.2,-11.2,-1.67
S12000020,S12000005,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000020,S12000006,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000020,S12000010,0,0,0,3,0,0,3,3,1.0,-1.0,-1.00
S12000020,S12000013,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000020,S12000015,14,4,3,0,-11,-10,-14,21,7.0,7.0,2.63
S12000020,S12000017,574,213,259,383,-315,-361,-191,1429,478.5,95.5,4.37
S12000020,S12000018,3,0,0,0,-3,-3,-3,3,1.0,2.0,1.99
S12000020,S12000020,10944,6568,2352,10440,-8592,-4376,-504,30304,10147.0,797.0,7.91
S12000020,S12000023,7,0,0,0,-7,-7,-7,7,2.3,4.7,3.04
S12000020,S12000024,4,3,0,7,-4,-1,3,14,4.7,-0.7,-0.32
S12000020,S12000028,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000020,S12000029,0,3,0,0,0,3,0,3,1.0,-1.0,-1.00
S12000020,S12000030,0,0,0,4,0,0,4,4,1.3,-1.3,-1.16
S12000020,S12000033,324,368,194,247,-130,44,-77,1133,379.4,-55.4,-2.84
S12000020,S12000034,443,378,142,377,-301,-65,-66,1340,448.7,-5.7,-0.27
S12000020,S12000035,64,5,0,13,-64,-59,-51,82,27.5,36.5,6.97
S12000020,S12000036,15,5,8,10,-7,-10,-5,38,12.7,2.3,0.64
S12000020,S12000038,5,0,3,0,-2,-5,-5,8,2.7,2.3,1.42
S12000020,S12000042,0,0,0,8,0,0,8,8,2.7,-2.7,-1.64
S12000020,S12000044,4,0,0,0,-4,-4,-4,4,1.3,2.7,2.30
S12000020,S12000046,12,6,4,9,-8,-6,-3,31,10.4,1.6,0.50
S12000021,S12000005,0,6,0,0,0,6,0,6,2.0,-2.0,-1.42
S12000021,S12000006,41,15,12,23,-29,-26,-18,91,30.5,10.5,1.91
S12000021,S12000008,2479,605,508,937,-1971,-1874,-1542,4529,1516.5,962.5,24.72
